,id,side,coordinates(epsg25833),parking_value
92,13,left,"[[316486.78423843585, 5688570.603926279], [316456.9400034195, 5688573.657061764]]",perpendicular
93,13,right,"[[316488.8288214992, 5688590.589615661], [316458.98458648287, 5688593.642751146]]",parallel
94,13,left,"[[316456.9400034198, 5688573.657061763], [316432.9758084692, 5688576.10865531]]",perpendicular
95,13,right,"[[316458.98458648246, 5688593.642751146], [316435.0203915318, 5688596.094344692]]",no car
96,14,left,"[[316444.18240617577, 5688585.662812424], [316442.89135751274, 5688555.6906054085]]",parallel
97,14,right,"[[316423.8137938251, 5688586.540187578], [316422.52274516213, 5688556.567980562]]",diagonal
98,14,left,"[[316442.89135751274, 5688555.6906054085], [316441.60030884965, 5688525.718398393]]",parallel
99,14,right,"[[316422.52274516213, 5688556.567980562], [316421.2316964991, 5688526.595773547]]",diagonal
100,14,left,"[[316441.60030884965, 5688525.718398393], [316440.3092601867, 5688495.746191378]]",parallel
101,14,right,"[[316421.2316964991, 5688526.595773547], [316419.9406478361, 5688496.6235665325]]",diagonal
102,14,left,"[[316440.3092601867, 5688495.746191378], [316439.51520617574, 5688477.311912424]]",parallel
103,14,right,"[[316419.9406478361, 5688496.623566532], [316419.14659382513, 5688478.189287578]]",diagonal
104,15,left,"[[316828.04575838614, 5688536.584242968], [316798.19189774484, 5688539.541776536]]",parallel
105,15,right,"[[316830.00044161367, 5688556.315157032], [316800.14658097236, 5688559.2726906]]",diagonal
106,15,left,"[[316798.19189774484, 5688539.541776536], [316768.3380371036, 5688542.499310105]]",parallel
107,15,right,"[[316800.14658097236, 5688559.2726906], [316770.29272033105, 5688562.230224168]]",diagonal
108,15,left,"[[316768.3380371036, 5688542.499310105], [316738.4841764622, 5688545.456843673]]",parallel
109,15,right,"[[316770.29272033105, 5688562.230224168], [316740.4388596897, 5688565.187757736]]",diagonal
110,15,left,"[[316738.484176462, 5688545.456843673], [316708.6303158206, 5688548.414377242]]",parallel
111,15,right,"[[316740.4388596901, 5688565.187757736], [316710.58499904873, 5688568.145291305]]",diagonal
112,15,left,"[[316708.6303158209, 5688548.414377242], [316678.7764551796, 5688551.3719108105]]",parallel
113,15,right,"[[316710.58499904844, 5688568.145291305], [316680.73113840714, 5688571.102824873]]",perpendicular
114,15,left,"[[316678.7764551794, 5688551.3719108105], [316650.6214583859, 5688554.161142968]]",parallel
115,15,right,"[[316680.73113840725, 5688571.102824872], [316652.57614161377, 5688573.892057031]]",perpendicular
116,16,left,"[[316974.53101630165, 5688521.9715247955], [316944.67653584806, 5688524.922795173]]",parallel
117,16,right,"[[316976.5073836983, 5688541.964075206], [316946.6529032447, 5688544.915345584]]",parallel
118,16,left,"[[316944.67653584806, 5688524.922795173], [316914.82205539447, 5688527.874065552]]",parallel
119,16,right,"[[316946.6529032447, 5688544.915345584], [316916.7984227911, 5688547.866615962]]","TIE: diagonal,parallel"
120,16,left,"[[316914.82205539447, 5688527.874065552], [316884.9675749409, 5688530.825335929]]","TIE: parallel,diagonal/perpendicular"
121,16,right,"[[316916.7984227911, 5688547.866615962], [316886.9439423375, 5688550.81788634]]",parallel
122,16,left,"[[316884.9675749409, 5688530.825335929], [316855.1130944872, 5688533.776606307]]","TIE: parallel,diagonal/perpendicular"
123,16,right,"[[316886.9439423375, 5688550.81788634], [316857.0894618839, 5688553.769156719]]","TIE: diagonal,parallel"
124,16,left,"[[316855.1130944873, 5688533.776606308], [316828.03491630155, 5688536.453424795]]","TIE: parallel,diagonal/perpendicular"
125,16,right,"[[316857.089461884, 5688553.769156719], [316830.0112836982, 5688556.445975205]]",diagonal
126,17,left,"[[316838.9362736649, 5688545.8507722495], [316837.12705201504, 5688515.90537666]]",perpendicular
127,17,right,"[[316819.10992633493, 5688547.04862775], [316817.3007046851, 5688517.10323216]]",parallel
128,17,left,"[[316837.1270520151, 5688515.90537666], [316835.31783036527, 5688485.959981071]]",perpendicular
129,17,right,"[[316817.30070468504, 5688517.10323216], [316815.4914830352, 5688487.157836571]]",parallel
130,17,left,"[[316835.31783036527, 5688485.959981071], [316833.50860871543, 5688456.014585482]]",perpendicular
131,17,right,"[[316815.4914830352, 5688487.157836571], [316813.6822613854, 5688457.212440982]]",parallel
132,17,left,"[[316833.5086087153, 5688456.014585482], [316832.4251736651, 5688438.08207225]]",perpendicular
133,17,right,"[[316813.6822613854, 5688457.212440982], [316812.59882633516, 5688439.27992775]]",parallel
134,18,left,"[[316849.12778383185, 5688655.01737302], [316846.35964890965, 5688625.145355527]]",diagonal
135,18,right,"[[316829.2106161689, 5688656.863026979], [316826.4424812468, 5688626.991009487]]",parallel
136,18,left,"[[316846.3596489096, 5688625.145355527], [316843.5915139875, 5688595.273338036]]",diagonal
137,18,right,"[[316826.4424812467, 5688626.991009487], [316823.6743463246, 5688597.118991994]]",parallel
138,18,left,"[[316843.5915139875, 5688595.273338036], [316840.8233790654, 5688565.401320543]]",diagonal
139,18,right,"[[316823.6743463246, 5688597.118991994], [316820.9062114025, 5688567.246974503]]",parallel
140,18,left,"[[316840.82337906543, 5688565.401320543], [316838.9816838314, 5688545.52687302]]",diagonal
141,18,right,"[[316820.90621140256, 5688567.246974503], [316819.0645161685, 5688547.37252698]]",parallel
142,21,left,"[[317086.33134762384, 5688515.45638387], [317056.38121304783, 5688517.185383256]]",perpendicular
143,21,right,"[[317087.49525237636, 5688535.61781613], [317057.5451178003, 5688537.346815514]]","TIE: parallel,diagonal/perpendicular"
144,21,left,"[[317056.38121304754, 5688517.1853832565], [317026.4310784715, 5688518.914382641]]",perpendicular
145,21,right,"[[317057.54511780065, 5688537.346815515], [317027.5949832246, 5688539.075814901]]","TIE: parallel,diagonal/perpendicular"
146,21,left,"[[317026.4310784715, 5688518.914382641], [316996.48094389535, 5688520.643382027]]","TIE: perpendicular,parallel"
147,21,right,"[[317027.5949832246, 5688539.075814901], [316997.6448486485, 5688540.8048142865]]",parallel
148,21,left,"[[316996.4809438954, 5688520.643382027], [316974.9372476235, 5688521.887083871]]",diagonal
149,21,right,"[[316997.64484864846, 5688540.8048142865], [316976.1011523765, 5688542.048516131]]",no car
150,22,left,"[[317100.82601938775, 5688634.153176385], [317099.7457383308, 5688604.172632814]]",parallel
151,22,right,"[[317080.8539806119, 5688634.872823616], [317079.77369955496, 5688604.892280045]]",diagonal
152,22,left,"[[317099.7457383308, 5688604.172632814], [317098.6654572739, 5688574.192089243]]",parallel
153,22,right,"[[317079.77369955496, 5688604.892280045], [317078.69341849803, 5688574.911736474]]",diagonal
154,22,left,"[[317098.6654572739, 5688574.192089243], [317097.58517621696, 5688544.211545672]]",parallel
155,22,right,"[[317078.69341849803, 5688574.911736474], [317077.6131374411, 5688544.931192904]]",diagonal
156,22,left,"[[317097.585176217, 5688544.211545673], [317096.89931938815, 5688525.177276385]]",parallel
157,22,right,"[[317077.6131374412, 5688544.931192904], [317076.92728061223, 5688525.896923616]]",diagonal
158,23,left,"[[317201.98172988364, 5688508.375851233], [317172.037934768, 5688510.211371342]]","TIE: diagonal,parallel"
159,23,right,"[[317203.21627011715, 5688528.515548766], [317173.2724750015, 5688530.351068875]]","TIE: parallel,diagonal/perpendicular"
160,23,left,"[[317172.0379347677, 5688510.211371342], [317142.0941396521, 5688512.046891452]]","TIE: diagonal,parallel"
161,23,right,"[[317173.2724750018, 5688530.351068874], [317143.3286798862, 5688532.186588984]]","TIE: parallel,diagonal/perpendicular"
162,23,left,"[[317142.09413965244, 5688512.046891453], [317112.1503445368, 5688513.882411562]]",parallel
163,23,right,"[[317143.3286798859, 5688532.186588985], [317113.38488477026, 5688534.022109094]]","TIE: parallel,diagonal/perpendicular"
164,23,left,"[[317112.15034453676, 5688513.882411561], [317086.2960298834, 5688515.467251234]]",parallel
165,23,right,"[[317113.38488477014, 5688534.022109093], [317087.53057011677, 5688535.606948766]]",diagonal/perpendicular
166,24,left,"[[317212.73253371025, 5688517.867777382], [317211.0243880436, 5688487.91644622]]",no car
167,24,right,"[[317192.46546629054, 5688519.023622616], [317190.7573206239, 5688489.072291454]]",parallel
168,24,left,"[[317211.02438804356, 5688487.91644622], [317209.316242377, 5688457.965115057]]",parallel
169,24,right,"[[317190.75732062396, 5688489.072291454], [317189.04917495727, 5688459.1209602915]]",parallel
170,24,left,"[[317209.316242377, 5688457.965115057], [317207.60809671035, 5688428.0137838945]]","TIE: parallel,diagonal/perpendicular"
171,24,right,"[[317189.04917495727, 5688459.1209602915], [317187.34102929063, 5688429.16962913]]",parallel
172,24,left,"[[317207.6080967104, 5688428.013783895], [317206.6490337096, 5688411.197177383]]","TIE: parallel,diagonal/perpendicular"
173,24,right,"[[317187.34102929063, 5688429.16962913], [317186.3819662899, 5688412.353022617]]",parallel
174,25,left,"[[317222.9345434888, 5688909.500259266], [317252.9014923752, 5688908.092433128]]",perpendicular
175,25,right,"[[317222.3432565105, 5688896.914140733], [317252.31020539696, 5688895.506314595]]",perpendicular
176,25,left,"[[317252.90149237536, 5688908.092433127], [317282.8684412617, 5688906.684606986]]",parallel
177,25,right,"[[317252.31020539673, 5688895.506314594], [317282.2771542831, 5688894.098488454]]",perpendicular
178,25,left,"[[317282.8684412617, 5688906.684606986], [317312.83539014816, 5688905.276780847]]",parallel
179,25,right,"[[317282.2771542831, 5688894.098488454], [317312.24410316953, 5688892.690662315]]",perpendicular
180,25,left,"[[317312.83539014804, 5688905.276780847], [317342.92144348874, 5688903.863359265]]",parallel
181,25,right,"[[317312.24410316965, 5688892.690662316], [317342.33015651035, 5688891.277240734]]",perpendicular
182,26,left,"[[317218.8057623514, 5688628.215022334], [317217.09547462134, 5688598.263813411]]",parallel
183,26,right,"[[317198.99303764955, 5688629.346377667], [317197.28274991945, 5688599.395168744]]",diagonal/perpendicular
184,26,left,"[[317217.09547462134, 5688598.263813411], [317215.3851868913, 5688568.312604489]]",parallel
